id,login,name,sponsor,email,password,type,zip,latitude,longitude,registrationDate,ranking,sponsorId,OrgId
0,c0,Root,,c0@acme.com,password,Root,15301,40.153565,-80.253411,2019-12-01,,,1
1,c1,Wilber Woodson,c0,c1@acme.com,password,Ambassador,11933,40.942231,-72.765594,2019-12-15,Ambassador,0,1
2,c2,Rosaria Rock,c0,c2@acme.com,password,Ambassador,87535,35.528662,-105.747752,2019-12-04,Ambassador,0,1
3,c3,Inger Ikner,c0,c3@acme.com,password,Ambassador,94086,37.371647,-122.023134,2019-12-29,Ambassador,0,1
4,c4,Greta Workman,c0,c4@acme.com,password,Ambassador,29565,34.358052,-79.499289,2019-12-12,Ambassador,0,1
5,c5,Kevin Van Gundy,c4,c5@acme.com,password,Ambassador,54519,46.050772,-89.262739,2019-12-28,Ambassador,4,1
6,c6,Michael Hunger,c1,c6@acme.com,password,Ambassador,20612,38.50506,-76.67721,2019-12-03,Ambassador,1,1
7,c7,Bryce Merkl Sasaki,c2,c7@acme.com,password,Ambassador,85711,32.215235,-110.883394,2019-12-11,Ambassador,2,1
8,c8,Nicole White,c3,c8@acme.com,password,Ambassador,75974,31.958364,-94.239838,2019-12-01,Ambassador,3,1
9,c9,Elsy Eckhardt,c4,c9@acme.com,password,Ambassador,6355,41.364965,-71.976098,2019-12-08,Ambassador,4,1
10,c10,Loreta Larrimore,c4,c10@acme.com,password,Ambassador,89008,37.286087,-114.513105,2019-12-15,Ambassador,4,1
11,c11,Aliza Albrecht,c4,c11@acme.com,password,Ambassador,30055,33.497411,-83.749784,2019-12-31,Ambassador,4,1
12,c12,Sharyn Santini,c4,c12@acme.com,password,Ambassador,31624,31.296189,-82.730338,2019-12-16,Ambassador,4,1
13,c13,Eugenie Elling,c1,c13@acme.com,password,Ambassador,32137,29.581521,-81.21819,2019-12-16,Ambassador,1,1
14,c14,Kristofer Kirshner,c2,c14@acme.com,password,Ambassador,78753,30.382018,-97.673641,2019-12-23,Ambassador,2,1
15,c15,Irving Izzard,c3,c15@acme.com,password,Ambassador,57449,45.737408,-98.176157,2019-12-09,Ambassador,3,1
16,c16,Elina Enfinger,c2,c16@acme.com,password,Ambassador,39562,30.546682,-88.489452,2019-12-01,Ambassador,2,1
17,c17,Max Moschella,c1,c17@acme.com,password,Ambassador,62401,39.118715,-88.562384,2019-12-27,Ambassador,1,1
18,c18,Elena Elwood,c4,c18@acme.com,password,Ambassador,55038,45.174141,-92.980843,2019-12-16,Ambassador,4,1
19,c19,Jeanmarie Jaffe,c1,c19@acme.com,password,Ambassador,64401,39.633389,-94.715455,2019-12-29,Ambassador,1,1
20,c20,Brianne Buelow,c8,c20@acme.com,password,Ambassador,65771,36.772465,-93.206417,2019-12-05,Ambassador,8,1
21,c21,Wanda Wrinkle,c11,c21@acme.com,password,Ambassador,64631,39.82425,-92.866091,2019-12-11,Ambassador,11,1
22,c22,Jeffery Jackman,c14,c22@acme.com,password,Ambassador,29844,33.769606,-82.241925,2019-12-04,Ambassador,14,1
23,c23,Alonzo Alaniz,c11,c23@acme.com,password,Ambassador,96126,39.529719,-120.454168,2019-12-21,Ambassador,11,1
24,c24,Willy Wickert,c8,c24@acme.com,password,Ambassador,98860,47.461956,-119.200475,2019-12-08,Ambassador,8,1
25,c25,Maud Maclachlan,c6,c25@acme.com,password,Ambassador,75486,33.745236,-95.744327,2019-12-10,Ambassador,6,1
26,c26,Tarsha Teeter,c5,c26@acme.com,password,Ambassador,43333,40.443022,-83.924616,2019-12-13,Ambassador,5,1
27,c27,Maureen Morrissey,c11,c27@acme.com,password,Ambassador,4090,43.331432,-70.645586,2019-12-31,Ambassador,11,1
28,c28,Albert Adamczyk,c9,c28@acme.com,password,Ambassador,98908,46.615206,-120.724113,2019-12-07,Ambassador,9,1
29,c29,Niki Neidig,c9,c29@acme.com,password,Ambassador,44675,40.502358,-81.253774,2019-12-20,Ambassador,9,1
30,c30,Deedra Disandro,c16,c30@acme.com,password,Ambassador,5491,44.111961,-73.310796,2019-12-03,Ambassador,16,1
31,c31,Melynda Mehl,c14,c31@acme.com,password,Ambassador,65657,36.838288,-93.007588,2019-12-20,Ambassador,14,1
32,c32,Hans Hornberger,c17,c32@acme.com,password,Ambassador,35586,33.8779,-88.134075,2019-12-04,Ambassador,17,1
